CIS #,Profile,Recommendation,Status,Policy,Setting definition ID,Configured value,vs v4.0.0,Notes
4.10.26.5,L1,Ensure 'Turn off app notifications on the lock screen' is set to 'Enabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Device Security - D - Login and Lock Screen - v5.0.0,device_vendor_msft_policy_config_windowslogon_disablelockscreenappnotifications,Turn off app notifications on the lock screen = Enabled,Unchanged,
4.10.26.6,L1,Ensure 'Turn off picture password sign-in' is set to 'Enabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Device Security - D - Login and Lock Screen - v5.0.0,device_vendor_msft_policy_config_credentialproviders_blockpicturepassword,Turn off picture password sign-in = Enabled,New,
4.10.26.7,L1,Ensure 'Turn on convenience PIN sign-in' is set to 'Disabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Device Security - D - Login and Lock Screen - v5.0.0,device_vendor_msft_policy_config_credentialproviders_allowpinlogon,Turn on convenience PIN sign-in = Disabled,New,
4.10.29.5.1,L1,Ensure 'Require a password when a computer wakes (on battery)' is set to 'Enabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Device Security - D - Security Hardening - v5.0.0,device_vendor_msft_policy_config_power_requirepasswordwhencomputerwakesonbattery,Require a password when a computer wakes (on battery) = Enabled,Unchanged,
4.10.29.5.2,L1,Ensure 'Require a password when a computer wakes (plugged in)' is set to 'Enabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Device Security - D - Security Hardening - v5.0.0,device_vendor_msft_policy_config_power_requirepasswordwhencomputerwakespluggedin,Require a password when a computer wakes (plugged in) = Enabled,Unchanged,
4.10.30.1,L1,Ensure 'Configure Offer Remote Assistance' is set to 'Disabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Device Security - D - Security Hardening - v5.0.0,device_vendor_msft_policy_config_remoteassistance_unsolicitedremoteassistance,Configure Offer Remote Assistance = Disabled,Unchanged,
4.10.30.2,L1,Ensure 'Configure Solicited Remote Assistance' is set to 'Disabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Device Security - D - Security Hardening - v5.0.0,device_vendor_msft_policy_config_remoteassistance_solicitedremoteassistance,Configure Solicited Remote Assistance = Disabled,Unchanged,
4.10.31.1,L1,Ensure 'Enable RPC Endpoint Mapper Client Authentication' is set to 'Enabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Device Security - D - Remote Desktop Services and RPC - v5.0.0,device_vendor_msft_policy_config_remoteprocedurecall_rpcendpointmapperclientauthentication,Enable RPC Endpoint Mapper Client Authentication = Enabled,Unchanged,
4.10.31.2,L1,Ensure 'Restrict Unauthenticated RPC clients' is set to 'Enabled: Authenticated' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Device Security - D - Remote Desktop Services and RPC - v5.0.0,device_vendor_msft_policy_config_remoteprocedurecall_restrictunauthenticatedrpcclients,Restrict Unauthenticated RPC clients = Enabled [RPC Runtime Unauthenticated Client Restriction to Apply: = Authenticated],Unchanged,
4.10.40.5.1,L2,Ensure 'Microsoft Support Diagnostic Tool: Turn on MSDT interactive communication with support provider' is set to 'Disabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L2 - Device Security - D - Security Hardening - v5.0.0,device_vendor_msft_policy_config_admx_msdt_msdtsupportprovider,Microsoft Support Diagnostic Tool: Turn on MSDT interactive communication with support provider = Disabled,New,
4.10.44.1.1,L1,Ensure 'Enable Windows NTP Client' is set to 'Enabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Device Security - D - Security Hardening - v5.0.0,device_vendor_msft_policy_config_admx_w32time_w32time_policy_enable_ntpclient,Enable Windows NTP Client = Enabled,Unchanged,
4.10.44.1.2,L1,Ensure 'Enable Windows NTP Server' is set to 'Disabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Device Security - D - Security Hardening - v5.0.0,device_vendor_msft_policy_config_admx_w32time_w32time_policy_enable_ntpserver,Enable Windows NTP Server = Disabled,New,
4.11.3.1,L1,Ensure 'Allow Microsoft accounts to be optional' is set to 'Enabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Device Security - D - Security Hardening - v5.0.0,device_vendor_msft_policy_config_appruntime_allowmicrosoftaccountstobeoptional,Allow Microsoft accounts to be optional = Enabled,Unchanged,
4.11.3.2,L2,Ensure 'Block launching Universal Windows apps with Windows Runtime API access from hosted content.' is set to 'Enabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L2 - Device Security - D - Security Hardening - v5.0.0,device_vendor_msft_policy_config_admx_appxruntime_appxruntimeblockhostedappaccesswinrt,Block launching Universal Windows apps with Windows Runtime API access from hosted content. = Enabled,New,
4.11.5.1,L1,Ensure 'Do not preserve zone information in file attachments (User)' is set to 'Disabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Device Security - U - Security Hardening - v5.0.0,user_vendor_msft_policy_config_attachmentmanager_donotpreservezoneinformation,Do not preserve zone information in file attachments (User) = Disabled,New,
4.11.5.2,L1,Ensure 'Notify antivirus programs when opening attachments (User)' is set to 'Enabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Device Security - U - Security Hardening - v5.0.0,user_vendor_msft_policy_config_attachmentmanager_notifyantivirusprograms,Notify antivirus programs when opening attachments (User) = Enabled,New,
4.11.6.1,L1,Ensure 'Disallow Autoplay for non-volume devices' is set to 'Enabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Device Security - D - Security Hardening - v5.0.0,device_vendor_msft_policy_config_autoplay_disallowautoplayfornonvolumedevices,Disallow Autoplay for non-volume devices = Enabled,Unchanged,
4.11.6.2,L1,Ensure 'Set the default behavior for AutoRun' is set to 'Enabled: Do not execute any autorun commands' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Device Security - D - Security Hardening - v5.0.0,device_vendor_msft_policy_config_autoplay_setdefaultautorunbehavior,Set the default behavior for AutoRun = Enabled [Default AutoRun Behavior = Do not execute any autorun commands],Unchanged,
4.11.6.3,L1,Ensure 'Turn off Autoplay' is set to 'Enabled: All drives' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Device Security - D - Security Hardening - v5.0.0,device_vendor_msft_policy_config_autoplay_turnoffautoplay,Turn off Autoplay = Enabled [Turn off Autoplay on: = All drives],Unchanged,
4.11.7.1.1,BL,Ensure 'Choose how BitLocker-protected fixed drives can be recovered' is set to 'Enabled' (Automated),In policy,Win - CDW Baseline - ES - CIS L1 - Encryption - D - BitLocker (BL) - v5.0.0,device_vendor_msft_bitlocker_fixeddrivesrecoveryoptions,Choose how BitLocker-protected fixed drives can be recovered = Enabled [Allow data recovery agent = True; Configure user storage of BitLocker recovery information: = Allow 48-digit recovery password; device_vendor_msft_bitlocker_fixeddrivesrecoveryoptions_fdvrecoverykeyusagedropdown_name = Allow 256-bit recovery key; Omit recovery options from the BitLocker setup wizard = True; Save BitLocker recovery information to AD DS for fixed data drives = False; Configure storage of BitLocker recovery information to AD DS: = Backup recovery passwords and key packages; Do not enable BitLocker until recovery information is stored to AD DS for fixed data drives = False],New,Top-level template reference filled by Test-CdwPolicyJson.ps1 -FixTemplateReferences
4.11.7.1.2,BL,Ensure 'Choose how BitLocker-protected fixed drives can be recovered: Recovery Key' is set to 'Enabled: Allow 256-bit recovery key' (Automated),In policy,Win - CDW Baseline - ES - CIS L1 - Encryption - D - BitLocker (BL) - v5.0.0,device_vendor_msft_bitlocker_fixeddrivesrecoveryoptions,Choose how BitLocker-protected fixed drives can be recovered = Enabled [Allow data recovery agent = True; Configure user storage of BitLocker recovery information: = Allow 48-digit recovery password; device_vendor_msft_bitlocker_fixeddrivesrecoveryoptions_fdvrecoverykeyusagedropdown_name = Allow 256-bit recovery key; Omit recovery options from the BitLocker setup wizard = True; Save BitLocker recovery information to AD DS for fixed data drives = False; Configure storage of BitLocker recovery information to AD DS: = Backup recovery passwords and key packages; Do not enable BitLocker until recovery information is stored to AD DS for fixed data drives = False],New,Top-level template reference filled by Test-CdwPolicyJson.ps1 -FixTemplateReferences
4.11.7.1.3,BL,Ensure 'Choose how BitLocker-protected fixed drives can be recovered: Recovery Password' is set to 'Enabled: Allow 48-digit recovery password' (Automated),In policy,Win - CDW Baseline - ES - CIS L1 - Encryption - D - BitLocker (BL) - v5.0.0,device_vendor_msft_bitlocker_fixeddrivesrecoveryoptions,Choose how BitLocker-protected fixed drives can be recovered = Enabled [Allow data recovery agent = True; Configure user storage of BitLocker recovery information: = Allow 48-digit recovery password; device_vendor_msft_bitlocker_fixeddrivesrecoveryoptions_fdvrecoverykeyusagedropdown_name = Allow 256-bit recovery key; Omit recovery options from the BitLocker setup wizard = True; Save BitLocker recovery information to AD DS for fixed data drives = False; Configure storage of BitLocker recovery information to AD DS: = Backup recovery passwords and key packages; Do not enable BitLocker until recovery information is stored to AD DS for fixed data drives = False],New,Top-level template reference filled by Test-CdwPolicyJson.ps1 -FixTemplateReferences
4.11.7.1.4,BL,Ensure 'Choose how BitLocker-protected fixed drives can be recovered: Allow data recovery agent' is set to 'Enabled: True' (Automated),In policy,Win - CDW Baseline - ES - CIS L1 - Encryption - D - BitLocker (BL) - v5.0.0,device_vendor_msft_bitlocker_fixeddrivesrecoveryoptions,Choose how BitLocker-protected fixed drives can be recovered = Enabled [Allow data recovery agent = True; Configure user storage of BitLocker recovery information: = Allow 48-digit recovery password; device_vendor_msft_bitlocker_fixeddrivesrecoveryoptions_fdvrecoverykeyusagedropdown_name = Allow 256-bit recovery key; Omit recovery options from the BitLocker setup wizard = True; Save BitLocker recovery information to AD DS for fixed data drives = False; Configure storage of BitLocker recovery information to AD DS: = Backup recovery passwords and key packages; Do not enable BitLocker until recovery information is stored to AD DS for fixed data drives = False],New,Top-level template reference filled by Test-CdwPolicyJson.ps1 -FixTemplateReferences
4.11.7.1.5,BL,Ensure 'Choose how BitLocker-protected fixed drives can be recovered: Configure storage of BitLocker recovery information to AD DS' is set to 'Enabled: Backup recovery passwords and key packages' (Automated),In policy,Win - CDW Baseline - ES - CIS L1 - Encryption - D - BitLocker (BL) - v5.0.0,device_vendor_msft_bitlocker_fixeddrivesrecoveryoptions,Choose how BitLocker-protected fixed drives can be recovered = Enabled [Allow data recovery agent = True; Configure user storage of BitLocker recovery information: = Allow 48-digit recovery password; device_vendor_msft_bitlocker_fixeddrivesrecoveryoptions_fdvrecoverykeyusagedropdown_name = Allow 256-bit recovery key; Omit recovery options from the BitLocker setup wizard = True; Save BitLocker recovery information to AD DS for fixed data drives = False; Configure storage of BitLocker recovery information to AD DS: = Backup recovery passwords and key packages; Do not enable BitLocker until recovery information is stored to AD DS for fixed data drives = False],New,Top-level template reference filled by Test-CdwPolicyJson.ps1 -FixTemplateReferences
4.11.7.1.6,BL,Ensure 'Choose how BitLocker-protected fixed drives can be recovered: Do not enable BitLocker until recovery information is stored to AD DS for fixed data drives' is set to 'Enabled: False' (Automated),In policy,Win - CDW Baseline - ES - CIS L1 - Encryption - D - BitLocker (BL) - v5.0.0,device_vendor_msft_bitlocker_fixeddrivesrecoveryoptions,Choose how BitLocker-protected fixed drives can be recovered = Enabled [Allow data recovery agent = True; Configure user storage of BitLocker recovery information: = Allow 48-digit recovery password; device_vendor_msft_bitlocker_fixeddrivesrecoveryoptions_fdvrecoverykeyusagedropdown_name = Allow 256-bit recovery key; Omit recovery options from the BitLocker setup wizard = True; Save BitLocker recovery information to AD DS for fixed data drives = False; Configure storage of BitLocker recovery information to AD DS: = Backup recovery passwords and key packages; Do not enable BitLocker until recovery information is stored to AD DS for fixed data drives = False],New,Top-level template reference filled by Test-CdwPolicyJson.ps1 -FixTemplateReferences
4.11.7.1.7,BL,Ensure 'Choose how BitLocker-protected fixed drives can be recovered: Omit recovery options from the BitLocker setup wizard' is set to 'Enabled: True' (Automated),In policy,Win - CDW Baseline - ES - CIS L1 - Encryption - D - BitLocker (BL) - v5.0.0,device_vendor_msft_bitlocker_fixeddrivesrecoveryoptions,Choose how BitLocker-protected fixed drives can be recovered = Enabled [Allow data recovery agent = True; Configure user storage of BitLocker recovery information: = Allow 48-digit recovery password; device_vendor_msft_bitlocker_fixeddrivesrecoveryoptions_fdvrecoverykeyusagedropdown_name = Allow 256-bit recovery key; Omit recovery options from the BitLocker setup wizard = True; Save BitLocker recovery information to AD DS for fixed data drives = False; Configure storage of BitLocker recovery information to AD DS: = Backup recovery passwords and key packages; Do not enable BitLocker until recovery information is stored to AD DS for fixed data drives = False],New,Top-level template reference filled by Test-CdwPolicyJson.ps1 -FixTemplateReferences
4.11.7.1.8,BL,Ensure 'Choose how BitLocker-protected fixed drives can be recovered: Save BitLocker recovery information to AD DS for fixed data drives' is set to 'Enabled: False' (Automated),In policy,Win - CDW Baseline - ES - CIS L1 - Encryption - D - BitLocker (BL) - v5.0.0,device_vendor_msft_bitlocker_fixeddrivesrecoveryoptions,Choose how BitLocker-protected fixed drives can be recovered = Enabled [Allow data recovery agent = True; Configure user storage of BitLocker recovery information: = Allow 48-digit recovery password; device_vendor_msft_bitlocker_fixeddrivesrecoveryoptions_fdvrecoverykeyusagedropdown_name = Allow 256-bit recovery key; Omit recovery options from the BitLocker setup wizard = True; Save BitLocker recovery information to AD DS for fixed data drives = False; Configure storage of BitLocker recovery information to AD DS: = Backup recovery passwords and key packages; Do not enable BitLocker until recovery information is stored to AD DS for fixed data drives = False],New,Top-level template reference filled by Test-CdwPolicyJson.ps1 -FixTemplateReferences
4.11.7.2.1,BL,Ensure 'Choose how BitLocker-protected operating system drives can be recovered' is set to 'Enabled' (Automated),In policy,Win - CDW Baseline - ES - CIS L1 - Encryption - D - BitLocker (BL) - v5.0.0,device_vendor_msft_bitlocker_systemdrivesrecoveryoptions,Choose how BitLocker-protected operating system drives can be recovered = Enabled [Omit recovery options from the BitLocker setup wizard = True; Allow data recovery agent = False; Configure storage of BitLocker recovery information to AD DS: = Store recovery passwords and key packages; Do not enable BitLocker until recovery information is stored to AD DS for operating system drives = True; Save BitLocker recovery information to AD DS for operating system drives = True; Configure user storage of BitLocker recovery information: = Require 48-digit recovery password; device_vendor_msft_bitlocker_systemdrivesrecoveryoptions_osrecoverykeyusagedropdown_name = Do not allow 256-bit recovery key],Unchanged,
4.11.7.2.2,BL,Ensure 'Choose how BitLocker-protected operating system drives can be recovered: Recovery Key' is set to 'Enabled: Do not allow 256-bit recovery key' (Automated),In policy,Win - CDW Baseline - ES - CIS L1 - Encryption - D - BitLocker (BL) - v5.0.0,device_vendor_msft_bitlocker_systemdrivesrecoveryoptions,Choose how BitLocker-protected operating system drives can be recovered = Enabled [Omit recovery options from the BitLocker setup wizard = True; Allow data recovery agent = False; Configure storage of BitLocker recovery information to AD DS: = Store recovery passwords and key packages; Do not enable BitLocker until recovery information is stored to AD DS for operating system drives = True; Save BitLocker recovery information to AD DS for operating system drives = True; Configure user storage of BitLocker recovery information: = Require 48-digit recovery password; device_vendor_msft_bitlocker_systemdrivesrecoveryoptions_osrecoverykeyusagedropdown_name = Do not allow 256-bit recovery key],Unchanged,
4.11.7.2.3,BL,Ensure 'Choose how BitLocker-protected operating system drives can be recovered: Recovery Password' is set to 'Enabled: Require 48-digit recovery password' (Automated),In policy,Win - CDW Baseline - ES - CIS L1 - Encryption - D - BitLocker (BL) - v5.0.0,device_vendor_msft_bitlocker_systemdrivesrecoveryoptions,Choose how BitLocker-protected operating system drives can be recovered = Enabled [Omit recovery options from the BitLocker setup wizard = True; Allow data recovery agent = False; Configure storage of BitLocker recovery information to AD DS: = Store recovery passwords and key packages; Do not enable BitLocker until recovery information is stored to AD DS for operating system drives = True; Save BitLocker recovery information to AD DS for operating system drives = True; Configure user storage of BitLocker recovery information: = Require 48-digit recovery password; device_vendor_msft_bitlocker_systemdrivesrecoveryoptions_osrecoverykeyusagedropdown_name = Do not allow 256-bit recovery key],Unchanged,
4.11.7.2.4,BL,Ensure 'Choose how BitLocker-protected operating system drives can be recovered: Allow data recovery agent' is set to 'Enabled: False' (Automated),In policy,Win - CDW Baseline - ES - CIS L1 - Encryption - D - BitLocker (BL) - v5.0.0,device_vendor_msft_bitlocker_systemdrivesrecoveryoptions,Choose how BitLocker-protected operating system drives can be recovered = Enabled [Omit recovery options from the BitLocker setup wizard = True; Allow data recovery agent = False; Configure storage of BitLocker recovery information to AD DS: = Store recovery passwords and key packages; Do not enable BitLocker until recovery information is stored to AD DS for operating system drives = True; Save BitLocker recovery information to AD DS for operating system drives = True; Configure user storage of BitLocker recovery information: = Require 48-digit recovery password; device_vendor_msft_bitlocker_systemdrivesrecoveryoptions_osrecoverykeyusagedropdown_name = Do not allow 256-bit recovery key],Unchanged,
4.11.7.2.5,BL,Ensure 'Choose how BitLocker-protected operating system drives can be recovered: Configure storage of BitLocker recovery information to AD DS:' is set to 'Enabled: Store recovery passwords and key packages' (Automated),In policy,Win - CDW Baseline - ES - CIS L1 - Encryption - D - BitLocker (BL) - v5.0.0,device_vendor_msft_bitlocker_systemdrivesrecoveryoptions,Choose how BitLocker-protected operating system drives can be recovered = Enabled [Omit recovery options from the BitLocker setup wizard = True; Allow data recovery agent = False; Configure storage of BitLocker recovery information to AD DS: = Store recovery passwords and key packages; Do not enable BitLocker until recovery information is stored to AD DS for operating system drives = True; Save BitLocker recovery information to AD DS for operating system drives = True; Configure user storage of BitLocker recovery information: = Require 48-digit recovery password; device_vendor_msft_bitlocker_systemdrivesrecoveryoptions_osrecoverykeyusagedropdown_name = Do not allow 256-bit recovery key],Unchanged,
4.11.7.2.6,BL,Ensure 'Choose how BitLocker-protected operating system drives can be recovered: Do not enable BitLocker until recovery information is stored to AD DS for operating system drives' is set to 'Enabled: True' (Automated),In policy,Win - CDW Baseline - ES - CIS L1 - Encryption - D - BitLocker (BL) - v5.0.0,device_vendor_msft_bitlocker_systemdrivesrecoveryoptions,Choose how BitLocker-protected operating system drives can be recovered = Enabled [Omit recovery options from the BitLocker setup wizard = True; Allow data recovery agent = False; Configure storage of BitLocker recovery information to AD DS: = Store recovery passwords and key packages; Do not enable BitLocker until recovery information is stored to AD DS for operating system drives = True; Save BitLocker recovery information to AD DS for operating system drives = True; Configure user storage of BitLocker recovery information: = Require 48-digit recovery password; device_vendor_msft_bitlocker_systemdrivesrecoveryoptions_osrecoverykeyusagedropdown_name = Do not allow 256-bit recovery key],Unchanged,
4.11.7.2.7,BL,Ensure 'Choose how BitLocker-protected operating system drives can be recovered: Omit recovery options from the BitLocker setup wizard' is set to 'Enabled: True' (Automated),In policy,Win - CDW Baseline - ES - CIS L1 - Encryption - D - BitLocker (BL) - v5.0.0,device_vendor_msft_bitlocker_systemdrivesrecoveryoptions,Choose how BitLocker-protected operating system drives can be recovered = Enabled [Omit recovery options from the BitLocker setup wizard = True; Allow data recovery agent = False; Configure storage of BitLocker recovery information to AD DS: = Store recovery passwords and key packages; Do not enable BitLocker until recovery information is stored to AD DS for operating system drives = True; Save BitLocker recovery information to AD DS for operating system drives = True; Configure user storage of BitLocker recovery information: = Require 48-digit recovery password; device_vendor_msft_bitlocker_systemdrivesrecoveryoptions_osrecoverykeyusagedropdown_name = Do not allow 256-bit recovery key],Unchanged,
4.11.7.2.8,BL,Ensure 'Choose how BitLocker-protected operating system drives can be recovered: Save BitLocker recovery information to AD DS for operating system drives' is set to 'Enabled: True' (Automated),In policy,Win - CDW Baseline - ES - CIS L1 - Encryption - D - BitLocker (BL) - v5.0.0,device_vendor_msft_bitlocker_systemdrivesrecoveryoptions,Choose how BitLocker-protected operating system drives can be recovered = Enabled [Omit recovery options from the BitLocker setup wizard = True; Allow data recovery agent = False; Configure storage of BitLocker recovery information to AD DS: = Store recovery passwords and key packages; Do not enable BitLocker until recovery information is stored to AD DS for operating system drives = True; Save BitLocker recovery information to AD DS for operating system drives = True; Configure user storage of BitLocker recovery information: = Require 48-digit recovery password; device_vendor_msft_bitlocker_systemdrivesrecoveryoptions_osrecoverykeyusagedropdown_name = Do not allow 256-bit recovery key],Unchanged,
4.11.7.2.9,BL,Ensure 'Enforce drive encryption type on operating system drives: Select the encryption type: (Device)' is set to 'Enabled: Used Space Only encryption' or 'Enabled: Full encryption' (Automated),In policy,Win - CDW Baseline - ES - CIS L1 - Encryption - D - BitLocker (BL) - v5.0.0,device_vendor_msft_bitlocker_systemdrivesencryptiontype,Enforce drive encryption type on operating system drives = Enabled [Select the encryption type: (Device) = Full encryption],Unchanged,v4 value retained: Full encryption (CIS: used space only or full)
4.11.7.3.1,BL,Ensure 'Deny write access to removable drives not protected by BitLocker' is set to 'Enabled' (Automated),In policy,Win - CDW Baseline - ES - CIS L1 - Encryption - D - BitLocker (BL) - v5.0.0,device_vendor_msft_bitlocker_removabledrivesrequireencryption,Deny write access to removable drives not protected by BitLocker = Enabled [Do not allow write access to devices configured in another organization = False],New,Top-level template reference filled by Test-CdwPolicyJson.ps1 -FixTemplateReferences
4.11.7.3.2,BL,Ensure 'Deny write access to removable drives not protected by BitLocker: Do not allow write access to devices configured in another organization' is set to 'Enabled: False' (Automated),In policy,Win - CDW Baseline - ES - CIS L1 - Encryption - D - BitLocker (BL) - v5.0.0,device_vendor_msft_bitlocker_removabledrivesrequireencryption,Deny write access to removable drives not protected by BitLocker = Enabled [Do not allow write access to devices configured in another organization = False],New,Top-level template reference filled by Test-CdwPolicyJson.ps1 -FixTemplateReferences
4.11.7.4,BL,Ensure 'Choose drive encryption method and cipher strength (Windows 10 [Version 1511] and later): Select the encryption method for fixed data drives' is set to 'XTS-AES 128-bit (default)' or 'XTS-AES 256-bit' (Automated),In policy,Win - CDW Baseline - ES - CIS L1 - Encryption - D - BitLocker (BL) - v5.0.0,device_vendor_msft_bitlocker_encryptionmethodbydrivetype,Choose drive encryption method and cipher strength (Windows 10 [Version 1511] and later) = Enabled [Select the encryption method for removable data drives: = XTS-AES 256-bit; Select the encryption method for fixed data drives: = XTS-AES 256-bit; Select the encryption method for operating system drives: = XTS-AES 256-bit],Changed,OS/fixed XTS-AES 256 (v4); removable changed AES-CBC 256 -> XTS-AES 256 per CIS v5
4.11.7.5,BL,Ensure 'Choose drive encryption method and cipher strength (Windows 10 [Version 1511] and later): Select the encryption method for operating system drives' is set to 'XTS-AES 128-bit (default)' or 'XTS-AES 256-bit' (Automated),In policy,Win - CDW Baseline - ES - CIS L1 - Encryption - D - BitLocker (BL) - v5.0.0,device_vendor_msft_bitlocker_encryptionmethodbydrivetype,Choose drive encryption method and cipher strength (Windows 10 [Version 1511] and later) = Enabled [Select the encryption method for removable data drives: = XTS-AES 256-bit; Select the encryption method for fixed data drives: = XTS-AES 256-bit; Select the encryption method for operating system drives: = XTS-AES 256-bit],Changed,OS/fixed XTS-AES 256 (v4); removable changed AES-CBC 256 -> XTS-AES 256 per CIS v5
4.11.7.6,BL,Ensure 'Choose drive encryption method and cipher strength (Windows 10 [Version 1511] and later): Select the encryption method for removable data drives' is set to 'XTS-AES 128-bit' or higher (Automated),In policy,Win - CDW Baseline - ES - CIS L1 - Encryption - D - BitLocker (BL) - v5.0.0,device_vendor_msft_bitlocker_encryptionmethodbydrivetype,Choose drive encryption method and cipher strength (Windows 10 [Version 1511] and later) = Enabled [Select the encryption method for removable data drives: = XTS-AES 256-bit; Select the encryption method for fixed data drives: = XTS-AES 256-bit; Select the encryption method for operating system drives: = XTS-AES 256-bit],Changed,OS/fixed XTS-AES 256 (v4); removable changed AES-CBC 256 -> XTS-AES 256 per CIS v5
4.11.8.1,L1,Ensure 'Do not display the password reveal button' is set to 'Enabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Device Security - D - Security Hardening - v5.0.0,device_vendor_msft_policy_config_credentialsui_disablepasswordreveal,Do not display the password reveal button = Enabled,Unchanged,
4.11.8.2,L1,Ensure 'Enumerate administrator accounts on elevation' is set to 'Disabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Device Security - D - Security Hardening - v5.0.0,device_vendor_msft_policy_config_credentialsui_enumerateadministrators,Enumerate administrator accounts on elevation = Disabled,Unchanged,
4.11.8.3,L1,Ensure 'Prevent the use of security questions for local accounts' is set to 'Enabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Device Security - D - Security Hardening - v5.0.0,device_vendor_msft_policy_config_admx_credui_nolocalpasswordresetquestions,Prevent the use of security questions for local accounts = Enabled,New,
4.11.10.1,L1,Ensure 'Enable App Installer Experimental Features' is set to 'Disabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Device Security - D - Windows Package Manager - v5.0.0,device_vendor_msft_policy_config_desktopappinstaller_enableexperimentalfeatures,Enable App Installer Experimental Features = Disabled,Unchanged,
4.11.10.2,L1,Ensure 'Enable App Installer Hash Override' is set to 'Disabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Device Security - D - Windows Package Manager - v5.0.0,device_vendor_msft_policy_config_desktopappinstaller_enablehashoverride,Enable App Installer Hash Override = Disabled,Unchanged,
4.11.10.3,L1,Ensure 'Enable App Installer ms-appinstaller protocol' is set to 'Disabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Device Security - D - Windows Package Manager - v5.0.0,device_vendor_msft_policy_config_desktopappinstaller_enablemsappinstallerprotocol,Enable App Installer ms-appinstaller protocol = Disabled,Unchanged,
4.11.15.1.1,L1,Ensure 'Control Event Log behavior when the log file reaches its maximum size' is set to 'Disabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Device Security - D - Audit and Event Logging - v5.0.0,device_vendor_msft_policy_config_eventlogservice_controleventlogbehavior,Control Event Log behavior when the log file reaches its maximum size = Disabled,New,
4.11.15.1.2,L1,"Ensure 'Specify the maximum log file size (KB)' is set to 'Enabled: 32,768 or greater' (Automated)",In policy,Win - CDW Baseline - SC - CIS L1 - Device Security - D - Audit and Event Logging - v5.0.0,device_vendor_msft_policy_config_eventlogservice_specifymaximumfilesizeapplicationlog,Specify the maximum log file size (KB) = Enabled [Maximum Log Size (KB) = 32768],New,
4.11.15.2.1,L1,Ensure 'Control Event Log behavior when the log file reaches its maximum size' is set to 'Disabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Device Security - D - Audit and Event Logging - v5.0.0,device_vendor_msft_policy_config_admx_eventlog_channel_log_retention_2,Control Event Log behavior when the log file reaches its maximum size = Disabled,Unchanged,
4.11.15.2.2,L1,"Ensure 'Specify the maximum log file size (KB)' is set to 'Enabled: 196,608 or greater' (Automated)",In policy,Win - CDW Baseline - SC - CIS L1 - Device Security - D - Audit and Event Logging - v5.0.0,device_vendor_msft_policy_config_eventlogservice_specifymaximumfilesizesecuritylog,Specify the maximum log file size (KB) = Enabled [Maximum Log Size (KB) = 196608],New,
4.11.15.3.1,L1,Ensure 'Control Event Log behavior when the log file reaches its maximum size' is set to 'Disabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Device Security - D - Audit and Event Logging - v5.0.0,device_vendor_msft_policy_config_admx_eventlog_channel_log_retention_3,Control Event Log behavior when the log file reaches its maximum size = Disabled,Unchanged,
4.11.15.3.2,L1,"Ensure 'Specify the maximum log file size (KB)' is set to 'Enabled: 32,768 or greater' (Automated)",In policy,Win - CDW Baseline - SC - CIS L1 - Device Security - D - Audit and Event Logging - v5.0.0,device_vendor_msft_policy_config_admx_eventlog_channel_logmaxsize_3,Specify the maximum log file size (KB) = Enabled [Maximum Log Size (KB) (Device) = 32768],New,
4.11.15.4.1,L1,Ensure 'Control Event Log behavior when the log file reaches its maximum size' is set to 'Disabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Device Security - D - Audit and Event Logging - v5.0.0,device_vendor_msft_policy_config_admx_eventlog_channel_log_retention_4,Control Event Log behavior when the log file reaches its maximum size = Disabled,Unchanged,
